id,env,ip_hash,browsers,node_type,cities,standardised_name,nb_of_households,nb_of_users,nb_of_vids
ID5*Vq9Puke_UcioSccVShQUQNt_CgiVw5uh8tXMWJWSTpDW_UwVm1zKARYOC4-Rm8DC,web,9054090860478225149,-,User: ID5,santa lucia,-,1.0,0.0,1.0
ID5*Wzwe4qSMh5WXw5IDQIuq796ZbNBizg6mY_5nVnamszPXUqyxUmcK9IItuf7EgqEd,web,-6785358667459820098,-,User: ID5,ixtapaluca,-,1.0,0.0,1.0
ID5*7Xn9mE9WKCy4PyAGnkTIaqJF_qHb3LzYgV-Ouq_9QqTXUjjIXmtDec14CT_uXOE4,web,3552269077854721179,-,User: ID5,zapopan,-,1.0,0.0,1.0
ID5*DbEbYzFWglbsLpzZI0CMpETfgpqLwTqfAFA-BtXRkeTXUn5EgX6RvmHFj8rDLX3t,web,6457425115681597142,-,User: ID5,naucalpan de juarez,-,1.0,0.0,1.0
ID5*qYRzG2JSStQyovSp3oNNkxvFcMaye9UuimTMbGCQd6HXUnDJ0iXxsIwgw2OI362A,web,-415510902538326564,-,User: ID5,guadalajara,-,1.0,0.0,1.0
ID5*EfGZItonoO2K1x6QZvanqqOwmv8KDj8XMhEmVdjlnZjToT8CaLJugr6YHmHR37I1,web,-415510902538326564,-,User: ID5,guadalajara,-,1.0,0.0,1.0
ID5*o3_4oE_adoT4BnTv6e60Fj-ffRKzQmTY7GmD6z4TzbTXUr_Ah06-OYKSNG8Mpi7l,web,-5276580917803859470,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*SO8IyqRKhu4TloSFAn5EfNQPjXhY0pSyB_lzgdWDPd7XUti7OMhXhGBzo1IpyWJK,web,-5276580917803859470,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*RoTBs6ohT5cd_U38DBWNBdpkRAFWuV3LCZK6-Nvo9KfXUhhf5Ig82PCPSJPi2Q0d,web,-5276580917803859470,-,User: ID5,tijuana,-,1.0,0.0,1.0
ID5*XF5xsbD7_5UHJ_3-Fs89B8C-9ANMY-3JE0gK-sEyRKXXUqaQZ1_mBtggRBEhU7sD,web,-5276580917803859470,-,User: ID5,tijuana,-,1.0,0.0,1.0
