time,source,target,relationship
2024-11-14 08:00:00+00:00,7349167517811560067,ID5*yTGE2yvCu0bZrgthpPYMp3CyYtl0-T7NM8xIn-siMjDYp8w4TXRTWMYB08inFMsq,Household-User
2024-11-14 08:00:00+00:00,7349167517811560067,ID5*OjzI4djP93wqo0dbV_tAnYO_LuOH9HL3wMEEpRgvfgrYVEGNmVtBwEQ5F4RMB8Ek,Household-User
2024-11-14 08:00:00+00:00,7349167517811560067,ID5*i1QCgmmnPR-by4045pOK_jLX5IA2nLiUcanOxqlHtGnYp3KOHkujxbNeurO_X9Wx,Household-User
2024-11-14 08:00:00+00:00,7349167517811560067,ID5*ULXjRrJG3NtAKmz8PXJrOuk2BUTtfVlQqkgvAnKmVa3X_6ccurxemgonpEtMg8FU,Household-User
2024-11-14 08:00:00+00:00,7349167517811560067,ID5*eUpdFjNoL8QWzNEjFt0IMpyqVH19XDMLLm7DPbG41efV_QJY2YMNYNSDRhzmDjKI,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*3Tn3kt0-j4pFLyVzhrc0PB4o5FkFQKiKuff-Ryt9u9HYVGSoDxM_z9N5Kt3KYChE,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*9Fvw7_RciPdsTSIOr9UzQTdK4yQsIq_3kJX5OgIfvKzYp23oKH6SxDtpZcXBbRlo,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*bhOjPV6ee1iV-2ewURYmuWP5xg2eAT7bmFaqv_42iXPYVBI_EbqoZwABzhV6DpkT,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*6cSNDdlJVWgSLEmA1sEIieQu6D0Z1hDrH4GEj3nhp0PYp7A5LW5pnl3ESYoraeN9,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*rlAsS57d9C5VuOjGkVWpz6O6SXteQrGtWBUlyT51BgXXqLGRaoDvw6hBTFrZ8axj,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*hhzRzc4h0FNF4VIs5nx-KQPhJg-XKWkW5kMRm2Xcn73YVKORHiL7jNPNNwRi-Y3W,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*Jsf4C276-ZXlOnvqRqdX76M6D8k38kDQRpg4XcUHtnvX_-O22hI3wjuTEUJRZIz0,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*FDHhUVwM4M_XzGKwdFFOtZHMFpMFBFmKdG4hB_fxryHYVIvvQbRyquPXCvDSvXtN,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*R56Nag-jjPSEYw6LJ_4ijsJjeqhWqzWxJ8FNPKRewxrYp14YL6H3t-QX8lPT_Xdi,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*rcePCuX6jpRuOgzrzacg7ig6eMi88jfRzZhPXE4HwXrXUqDjenoNpUBCEPlrZtEx,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*W2us2xNWrUWYli86OwsDP96WWxlKXhQAOzRsjbir4qvYp0oEXrQVhlY0azDAILDl,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*Ncu1GH32tIb2Njb5Vasa_LA2Qtok_g3DVZR1TtYL-2jYp6yc6JOX8-3DMn9qGiC6,Household-User
2024-11-14 11:00:00+00:00,-9218881854738663408,ID5*g0GXsst8lixAvBRT4yE4Vga8YHCSdC9p4x5X5GCB2cLYp9UdbZPDw4bGJcLQuDjZ,Household-User
